model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Auquan,6/22/2020,1 wk ahead cum death,6/27/2020,California,6087,5515,7368
Auquan,6/22/2020,2 wk ahead cum death,7/4/2020,California,6558,5515,8890
Auquan,6/22/2020,3 wk ahead cum death,7/11/2020,California,6875,5515,9893
Auquan,6/22/2020,4 wk ahead cum death,7/18/2020,California,7084,5515,10551
Covid19Sim,6/22/2020,1 wk ahead cum death,6/27/2020,California,5127,4116,5442
Covid19Sim,6/22/2020,2 wk ahead cum death,7/4/2020,California,5474,4341,5837
Covid19Sim,6/22/2020,3 wk ahead cum death,7/11/2020,California,5811,4596,6221
Covid19Sim,6/22/2020,4 wk ahead cum death,7/18/2020,California,6148,4875,6601
CAN,6/22/2020,1 wk ahead cum death,6/27/2020,California,6675,6263,7087
CAN,6/22/2020,2 wk ahead cum death,7/4/2020,California,8154,7489,8818
CAN,6/22/2020,3 wk ahead cum death,7/11/2020,California,10029,9122,10937
CAN,6/22/2020,4 wk ahead cum death,7/18/2020,California,13012,11820,14204
Ensemble,6/22/2020,1 wk ahead cum death,6/27/2020,California,5985,5788,6277
Ensemble,6/22/2020,2 wk ahead cum death,7/4/2020,California,6507,6137,7062
Ensemble,6/22/2020,3 wk ahead cum death,7/11/2020,California,7050,6498,7904
Ensemble,6/22/2020,4 wk ahead cum death,7/18/2020,California,7654,6917,8871
Columbia,6/22/2020,1 wk ahead cum death,6/27/2020,California,6055,5956,6194
Columbia,6/22/2020,2 wk ahead cum death,7/4/2020,California,6619,6365,7025
Columbia,6/22/2020,3 wk ahead cum death,7/11/2020,California,7221,6758,8003
Columbia,6/22/2020,4 wk ahead cum death,7/18/2020,California,7841,7137,9181
LSHTM,6/22/2020,1 wk ahead cum death,6/27/2020,California,5983,5865,6170
LSHTM,6/22/2020,2 wk ahead cum death,7/4/2020,California,6487,6176,7034
LSHTM,6/22/2020,3 wk ahead cum death,7/11/2020,California,7006,6429,8133
LSHTM,6/22/2020,4 wk ahead cum death,7/18/2020,California,7526,6659,9520
GT-DeepCOVID,6/22/2020,1 wk ahead cum death,6/27/2020,California,5994,5842,6229
GT-DeepCOVID,6/22/2020,2 wk ahead cum death,7/4/2020,California,6511,6298,6793
GT-DeepCOVID,6/22/2020,3 wk ahead cum death,7/11/2020,California,7149,6794,7485
GT-DeepCOVID,6/22/2020,4 wk ahead cum death,7/18/2020,California,7927,7544,8480
IHME,6/22/2020,1 wk ahead cum death,6/27/2020,California,5927,5849,6019
IHME,6/22/2020,2 wk ahead cum death,7/4/2020,California,6466,6269,6729
IHME,6/22/2020,3 wk ahead cum death,7/11/2020,California,7006,6679,7489
IHME,6/22/2020,4 wk ahead cum death,7/18/2020,California,7528,7029,8289
ISU,6/22/2020,1 wk ahead cum death,6/27/2020,California,6111,6016,6216
ISU,6/22/2020,2 wk ahead cum death,7/4/2020,California,6514,6348,6700
ISU,6/22/2020,3 wk ahead cum death,7/11/2020,California,6813,6572,7094
ISU,6/22/2020,4 wk ahead cum death,7/18/2020,California,7039,6724,7414
JHU,6/22/2020,1 wk ahead cum death,6/27/2020,California,6289,5712,7647
JHU,6/22/2020,2 wk ahead cum death,7/4/2020,California,7339,6002,10279
JHU,6/22/2020,3 wk ahead cum death,7/11/2020,California,8562,6312,12981
JHU,6/22/2020,4 wk ahead cum death,7/18/2020,California,9948,6691,16006
LANL,6/22/2020,1 wk ahead cum death,6/27/2020,California,6025,5765,6375
LANL,6/22/2020,2 wk ahead cum death,7/4/2020,California,6523,5960,7410
LANL,6/22/2020,3 wk ahead cum death,7/11/2020,California,6970,6107,8558
LANL,6/22/2020,4 wk ahead cum death,7/18/2020,California,7348,6220,9845
MIT,6/22/2020,1 wk ahead cum death,6/27/2020,California,6159,5515,6914
MIT,6/22/2020,2 wk ahead cum death,7/4/2020,California,6922,6081,7763
MIT,6/22/2020,3 wk ahead cum death,7/11/2020,California,7691,6764,8618
MIT,6/22/2020,4 wk ahead cum death,7/18/2020,California,8453,7440,9466
MOBS,6/22/2020,1 wk ahead cum death,6/27/2020,California,5886,5827,5947
MOBS,6/22/2020,2 wk ahead cum death,7/4/2020,California,6258,6134,6385
MOBS,6/22/2020,3 wk ahead cum death,7/11/2020,California,6610,6418,6811
MOBS,6/22/2020,4 wk ahead cum death,7/18/2020,California,6944,6678,7223
NotreDame-Mobility,6/22/2020,1 wk ahead cum death,6/27/2020,California,5689,5613,5836
NotreDame-Mobility,6/22/2020,2 wk ahead cum death,7/4/2020,California,5910,5762,6204
NotreDame-Mobility,6/22/2020,3 wk ahead cum death,7/11/2020,California,6126,5899,6540
NotreDame-Mobility,6/22/2020,4 wk ahead cum death,7/18/2020,California,6352,6062,6845
Oliver Wyman,6/22/2020,1 wk ahead cum death,6/27/2020,California,5910,5715,6121
Oliver Wyman,6/22/2020,2 wk ahead cum death,7/4/2020,California,6353,5915,6846
Oliver Wyman,6/22/2020,3 wk ahead cum death,7/11/2020,California,6807,6076,7673
Oliver Wyman,6/22/2020,4 wk ahead cum death,7/18/2020,California,7276,6228,8620
PSI,6/22/2020,1 wk ahead cum death,6/27/2020,California,5778,5526,6234
PSI,6/22/2020,2 wk ahead cum death,7/4/2020,California,6100,5569,7036
PSI,6/22/2020,3 wk ahead cum death,7/11/2020,California,6396,5620,7806
PSI,6/22/2020,4 wk ahead cum death,7/18/2020,California,6680,5647,8526
UA,6/22/2020,1 wk ahead cum death,6/27/2020,California,5930,5890,5971
UA,6/22/2020,2 wk ahead cum death,7/4/2020,California,6445,6387,6510
UA,6/22/2020,3 wk ahead cum death,7/11/2020,California,7088,7009,7168
UA,6/22/2020,4 wk ahead cum death,7/18/2020,California,7813,7699,7942
UCLA,6/22/2020,1 wk ahead cum death,6/27/2020,California,5874,5770,5986
UCLA,6/22/2020,2 wk ahead cum death,7/4/2020,California,6258,6031,6517
UCLA,6/22/2020,3 wk ahead cum death,7/11/2020,California,6602,6257,7012
UCLA,6/22/2020,4 wk ahead cum death,7/18/2020,California,6907,6452,7463
UMass-MB,6/22/2020,1 wk ahead cum death,6/27/2020,California,5926,5765,6157
UMass-MB,6/22/2020,2 wk ahead cum death,7/4/2020,California,6438,6102,6907
UMass-MB,6/22/2020,3 wk ahead cum death,7/11/2020,California,6972,6349,7973
UMass-MB,6/22/2020,4 wk ahead cum death,7/18/2020,California,7542,6551,9267
UT,6/22/2020,1 wk ahead cum death,6/27/2020,California,5920,5797,6078
UT,6/22/2020,2 wk ahead cum death,7/4/2020,California,6402,6165,6754
UT,6/22/2020,3 wk ahead cum death,7/11/2020,California,6899,6509,7513
UT,6/22/2020,4 wk ahead cum death,7/18/2020,California,7421,6836,8382
YYG,6/22/2020,1 wk ahead cum death,6/27/2020,California,5872,5696,6083
YYG,6/22/2020,2 wk ahead cum death,7/4/2020,California,6296,5896,6787
YYG,6/22/2020,3 wk ahead cum death,7/11/2020,California,6745,6089,7570
YYG,6/22/2020,4 wk ahead cum death,7/18/2020,California,7232,6273,8456
