date,race,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent,population_percent
6/24/2020,Asian,0-17,255,0.025,0,0,0.13
6/24/2020,Asian,18-34,2280,0.057,4,0.069,0.151
6/24/2020,Asian,35-49,2603,0.076,22,0.08,0.179
6/24/2020,Asian,50-64,2647,0.09,85,0.095,0.167
6/24/2020,Asian,65-79,1408,0.105,215,0.121,0.172
6/24/2020,Asian,80+,1090,0.153,503,0.2,0.172
6/24/2020,Asian,Total,10293,0.076,829,0.15,0.157
6/24/2020,Black,0-17,178,0.017,0,0,0.054
6/24/2020,Black,18-34,1436,0.036,6,0.103,0.065
6/24/2020,Black,35-49,1317,0.039,20,0.073,0.059
6/24/2020,Black,50-64,1502,0.051,77,0.086,0.064
6/24/2020,Black,65-79,982,0.073,201,0.113,0.055
6/24/2020,Black,80+,557,0.078,215,0.085,0.048
6/24/2020,Black,Total,5981,0.045,519,0.094,0.06
6/24/2020,Latino,0-17,7059,0.689,0,0,0.479
6/24/2020,Latino,18-34,24742,0.619,39,0.672,0.45
6/24/2020,Latino,35-49,20605,0.605,202,0.737,0.415
6/24/2020,Latino,50-64,15965,0.542,549,0.613,0.322
6/24/2020,Latino,65-79,5519,0.411,777,0.437,0.218
6/24/2020,Latino,80+,2098,0.293,697,0.277,0.196
6/24/2020,Latino,Total,76036,0.566,2265,0.41,0.389
6/24/2020,Other,0-17,2014,0.196,0,0,0.044
6/24/2020,Other,18-34,6595,0.165,2,0.034,0.032
6/24/2020,Other,35-49,4959,0.146,6,0.022,0.021
6/24/2020,Other,50-64,3833,0.131,17,0.019,0.017
6/24/2020,Other,65-79,1299,0.097,34,0.019,0.015
6/24/2020,Other,80+,519,0.072,48,0.019,0.013
6/24/2020,Other,Total,19221,0.143,107,0.019,0.027
6/24/2020,white,0-17,744,0.073,0,0,0.292
6/24/2020,white,18-34,4948,0.124,7,0.121,0.302
6/24/2020,white,35-49,4552,0.134,24,0.088,0.325
6/24/2020,white,50-64,5507,0.187,167,0.187,0.43
6/24/2020,white,65-79,4204,0.313,553,0.311,0.54
6/24/2020,white,80+,2892,0.404,1056,0.419,0.572
6/24/2020,white,Total,22871,0.17,1807,0.327,0.366
6/23/2020,Asian,0-17,247,0.025,0,0,0.13
6/23/2020,Asian,18-34,2236,0.058,4,0.069,0.151
6/23/2020,Asian,35-49,2555,0.077,22,0.082,0.179
6/23/2020,Asian,50-64,2609,0.091,83,0.095,0.167
6/23/2020,Asian,65-79,1387,0.105,207,0.119,0.172
6/23/2020,Asian,80+,1065,0.152,491,0.198,0.172
6/23/2020,Asian,Total,10109,0.077,807,0.149,0.157
6/23/2020,Black,0-17,173,0.017,0,0,0.054
6/23/2020,Black,18-34,1387,0.036,6,0.103,0.065
6/23/2020,Black,35-49,1285,0.039,20,0.074,0.059
6/23/2020,Black,50-64,1484,0.051,75,0.086,0.064
6/23/2020,Black,65-79,963,0.073,197,0.113,0.055
6/23/2020,Black,80+,545,0.077,213,0.086,0.048
6/23/2020,Black,Total,5845,0.045,511,0.094,0.06
6/23/2020,Latino,0-17,6694,0.676,0,0,0.479
6/23/2020,Latino,18-34,23814,0.614,39,0.672,0.45
6/23/2020,Latino,35-49,19873,0.6,198,0.736,0.415
6/23/2020,Latino,50-64,15509,0.538,537,0.612,0.322
6/23/2020,Latino,65-79,5361,0.408,764,0.438,0.218
6/23/2020,Latino,80+,2061,0.293,686,0.277,0.196
6/23/2020,Latino,Total,73357,0.56,2225,0.41,0.389
6/23/2020,Other,0-17,2017,0.203,0,0,0.044
6/23/2020,Other,18-34,6528,0.168,2,0.034,0.032
6/23/2020,Other,35-49,4929,0.149,5,0.019,0.021
6/23/2020,Other,50-64,3827,0.133,18,0.021,0.017
6/23/2020,Other,65-79,1282,0.097,32,0.018,0.015
6/23/2020,Other,80+,513,0.073,48,0.019,0.013
6/23/2020,Other,Total,19099,0.146,105,0.019,0.027
6/23/2020,white,0-17,766,0.077,0,0,0.292
6/23/2020,white,18-34,4840,0.125,7,0.121,0.302
6/23/2020,white,35-49,4465,0.135,24,0.089,0.325
6/23/2020,white,50-64,5412,0.188,164,0.187,0.43
6/23/2020,white,65-79,4141,0.315,545,0.312,0.54
6/23/2020,white,80+,2849,0.405,1043,0.42,0.572
6/23/2020,white,Total,22500,0.172,1783,0.328,0.366
6/22/2020,Asian,0-17,242,0.025,0,0,0.13
6/22/2020,Asian,18-34,2176,0.059,4,0.069,0.151
6/22/2020,Asian,35-49,2513,0.079,22,0.083,0.179
6/22/2020,Asian,50-64,2565,0.091,82,0.094,0.167
6/22/2020,Asian,65-79,1363,0.106,205,0.119,0.172
6/22/2020,Asian,80+,1055,0.152,487,0.198,0.172
6/22/2020,Asian,Total,9925,0.078,800,0.148,0.157
6/22/2020,Black,0-17,161,0.017,0,0,0.054
6/22/2020,Black,18-34,1329,0.036,6,0.103,0.065
6/22/2020,Black,35-49,1224,0.038,20,0.075,0.059
6/22/2020,Black,50-64,1456,0.052,75,0.086,0.064
6/22/2020,Black,65-79,945,0.073,194,0.112,0.055
6/22/2020,Black,80+,538,0.078,211,0.086,0.048
6/22/2020,Black,Total,5661,0.045,506,0.094,0.06
6/22/2020,Latino,0-17,6452,0.678,0,0,0.479
6/22/2020,Latino,18-34,23106,0.618,39,0.672,0.45
6/22/2020,Latino,35-49,19278,0.602,194,0.732,0.415
6/22/2020,Latino,50-64,15189,0.54,531,0.612,0.322
6/22/2020,Latino,65-79,5250,0.408,749,0.434,0.218
6/22/2020,Latino,80+,2028,0.292,678,0.275,0.196
6/22/2020,Latino,Total,71350,0.562,2192,0.407,0.389
6/22/2020,Other,0-17,1929,0.202,0,0,0.044
6/22/2020,Other,18-34,6136,0.165,2,0.034,0.032
6/22/2020,Other,35-49,4689,0.146,5,0.019,0.021
6/22/2020,Other,50-64,3635,0.13,17,0.02,0.017
6/22/2020,Other,65-79,1235,0.096,29,0.017,0.015
6/22/2020,Other,80+,502,0.072,47,0.019,0.013
6/22/2020,Other,Total,18129,0.143,100,0.019,0.027
6/22/2020,white,0-17,734,0.077,0,0,0.292
6/22/2020,white,18-34,4622,0.124,7,0.121,0.302
6/22/2020,white,35-49,4334,0.135,24,0.091,0.325
6/22/2020,white,50-64,5284,0.188,163,0.188,0.43
6/22/2020,white,65-79,4070,0.316,550,0.318,0.54
6/22/2020,white,80+,2817,0.406,1043,0.423,0.572
6/22/2020,white,Total,21885,0.172,1787,0.332,0.366
6/21/2020,Asian,0-17,234,0.025,0,0,0.13
6/21/2020,Asian,18-34,2144,0.059,4,0.069,0.151
6/21/2020,Asian,35-49,2485,0.08,22,0.083,0.179
6/21/2020,Asian,50-64,2540,0.092,81,0.094,0.167
6/21/2020,Asian,65-79,1347,0.106,206,0.12,0.172
6/21/2020,Asian,80+,1054,0.153,483,0.197,0.172
6/21/2020,Asian,Total,9815,0.078,796,0.148,0.157
6/21/2020,Black,0-17,157,0.017,0,0,0.054
6/21/2020,Black,18-34,1300,0.036,6,0.103,0.065
6/21/2020,Black,35-49,1202,0.038,20,0.076,0.059
6/21/2020,Black,50-64,1440,0.052,74,0.086,0.064
6/21/2020,Black,65-79,939,0.074,193,0.112,0.055
6/21/2020,Black,80+,532,0.077,209,0.085,0.048
6/21/2020,Black,Total,5573,0.045,502,0.094,0.06
6/21/2020,Latino,0-17,6328,0.683,0,0,0.479
6/21/2020,Latino,18-34,22770,0.624,39,0.672,0.45
6/21/2020,Latino,35-49,19046,0.606,193,0.731,0.415
6/21/2020,Latino,50-64,15044,0.543,528,0.613,0.322
6/21/2020,Latino,65-79,5200,0.41,747,0.433,0.218
6/21/2020,Latino,80+,2004,0.292,674,0.275,0.196
6/21/2020,Latino,Total,70439,0.566,2182,0.407,0.389
6/21/2020,Other,0-17,1840,0.199,0,0,0.044
6/21/2020,Other,18-34,5753,0.158,2,0.034,0.032
6/21/2020,Other,35-49,4405,0.14,5,0.019,0.021
6/21/2020,Other,50-64,3459,0.125,16,0.019,0.017
6/21/2020,Other,65-79,1177,0.093,30,0.018,0.015
6/21/2020,Other,80+,481,0.07,47,0.019,0.013
6/21/2020,Other,Total,17118,0.137,100,0.019,0.027
6/21/2020,white,0-17,702,0.076,0,0,0.292
6/21/2020,white,18-34,4516,0.124,7,0.121,0.302
6/21/2020,white,35-49,4269,0.136,24,0.091,0.325
6/21/2020,white,50-64,5214,0.188,163,0.189,0.43
6/21/2020,white,65-79,4030,0.317,550,0.319,0.54
6/21/2020,white,80+,2794,0.407,1040,0.424,0.572
6/21/2020,white,Total,21547,0.173,1784,0.333,0.366
6/20/2020,Asian,0-17,229,0.026,0,0,0.13
6/20/2020,Asian,18-34,2119,0.06,4,0.069,0.151
6/20/2020,Asian,35-49,2464,0.08,22,0.084,0.179
6/20/2020,Asian,50-64,2520,0.093,81,0.095,0.167
6/20/2020,Asian,65-79,1343,0.107,206,0.12,0.172
6/20/2020,Asian,80+,1050,0.154,483,0.197,0.172
6/20/2020,Asian,Total,9737,0.08,796,0.149,0.157
6/20/2020,Black,0-17,146,0.016,0,0,0.054
6/20/2020,Black,18-34,1273,0.036,6,0.103,0.065
6/20/2020,Black,35-49,1174,0.038,20,0.076,0.059
6/20/2020,Black,50-64,1426,0.052,74,0.087,0.064
6/20/2020,Black,65-79,933,0.074,192,0.112,0.055
6/20/2020,Black,80+,530,0.078,209,0.085,0.048
6/20/2020,Black,Total,5485,0.045,501,0.094,0.06
6/20/2020,Latino,0-17,6195,0.688,0,0,0.479
6/20/2020,Latino,18-34,22418,0.628,39,0.672,0.45
6/20/2020,Latino,35-49,18767,0.61,192,0.73,0.415
6/20/2020,Latino,50-64,14843,0.544,522,0.611,0.322
6/20/2020,Latino,65-79,5129,0.409,745,0.433,0.218
6/20/2020,Latino,80+,1987,0.292,671,0.274,0.196
6/20/2020,Latino,Total,69392,0.568,2170,0.406,0.389
6/20/2020,Other,0-17,1769,0.197,0,0,0.044
6/20/2020,Other,18-34,5489,0.154,2,0.034,0.032
6/20/2020,Other,35-49,4200,0.136,5,0.019,0.021
6/20/2020,Other,50-64,3349,0.123,15,0.018,0.017
6/20/2020,Other,65-79,1152,0.092,30,0.018,0.015
6/20/2020,Other,80+,472,0.069,47,0.019,0.013
6/20/2020,Other,Total,16434,0.134,99,0.019,0.027
6/20/2020,white,0-17,668,0.074,0,0,0.292
6/20/2020,white,18-34,4403,0.123,7,0.121,0.302
6/20/2020,white,35-49,4182,0.136,24,0.091,0.325
6/20/2020,white,50-64,5137,0.188,163,0.191,0.43
6/20/2020,white,65-79,3990,0.318,547,0.318,0.54
6/20/2020,white,80+,2774,0.407,1038,0.424,0.572
6/20/2020,white,Total,21177,0.173,1779,0.333,0.366
6/19/2020,Asian,0-17,221,0.026,0,0,0.13
6/19/2020,Asian,18-34,2080,0.06,4,0.069,0.151
6/19/2020,Asian,35-49,2433,0.081,22,0.085,0.179
6/19/2020,Asian,50-64,2505,0.094,81,0.096,0.167
6/19/2020,Asian,65-79,1322,0.107,204,0.122,0.172
6/19/2020,Asian,80+,1032,0.154,476,0.198,0.172
6/19/2020,Asian,Total,9604,0.081,787,0.15,0.157
6/19/2020,Black,0-17,139,0.016,0,0,0.054
6/19/2020,Black,18-34,1230,0.035,5,0.086,0.065
6/19/2020,Black,35-49,1154,0.038,20,0.077,0.059
6/19/2020,Black,50-64,1409,0.053,74,0.088,0.064
6/19/2020,Black,65-79,921,0.075,188,0.112,0.055
6/19/2020,Black,80+,527,0.079,208,0.087,0.048
6/19/2020,Black,Total,5384,0.045,495,0.095,0.06
6/19/2020,Latino,0-17,6013,0.689,0,0,0.479
6/19/2020,Latino,18-34,21892,0.63,40,0.69,0.45
6/19/2020,Latino,35-49,18351,0.61,190,0.734,0.415
6/19/2020,Latino,50-64,14540,0.543,505,0.603,0.322
6/19/2020,Latino,65-79,5018,0.408,719,0.429,0.218
6/19/2020,Latino,80+,1950,0.291,660,0.275,0.196
6/19/2020,Latino,Total,67818,0.568,2115,0.404,0.389
6/19/2020,Other,0-17,1699,0.195,0,0,0.044
6/19/2020,Other,18-34,5240,0.151,2,0.034,0.032
6/19/2020,Other,35-49,4021,0.133,4,0.016,0.021
6/19/2020,Other,50-64,3247,0.122,16,0.02,0.017
6/19/2020,Other,65-79,1126,0.092,28,0.017,0.015
6/19/2020,Other,80+,475,0.071,46,0.019,0.013
6/19/2020,Other,Total,15811,0.132,96,0.019,0.027
6/19/2020,white,0-17,656,0.075,0,0,0.292
6/19/2020,white,18-34,4286,0.123,7,0.121,0.302
6/19/2020,white,35-49,4121,0.137,23,0.089,0.325
6/19/2020,white,50-64,5067,0.189,161,0.192,0.43
6/19/2020,white,65-79,3918,0.318,536,0.32,0.54
6/19/2020,white,80+,2708,0.405,1012,0.421,0.572
6/19/2020,white,Total,20780,0.174,1739,0.332,0.366
6/18/2020,Asian,0-17,218,0.025,0,0,0.13
6/18/2020,Asian,18-34,2053,0.061,4,0.069,0.151
6/18/2020,Asian,35-49,2410,0.082,22,0.086,0.179
6/18/2020,Asian,50-64,2493,0.095,80,0.096,0.167
6/18/2020,Asian,65-79,1316,0.108,201,0.122,0.172
6/18/2020,Asian,80+,1027,0.155,473,0.199,0.172
6/18/2020,Asian,Total,9527,0.082,780,0.151,0.157
6/18/2020,Black,0-17,132,0.016,0,0,0.054
6/18/2020,Black,18-34,1198,0.035,5,0.086,0.065
6/18/2020,Black,35-49,1138,0.039,20,0.078,0.059
6/18/2020,Black,50-64,1390,0.053,73,0.088,0.064
6/18/2020,Black,65-79,910,0.075,186,0.113,0.055
6/18/2020,Black,80+,524,0.079,207,0.087,0.048
6/18/2020,Black,Total,5296,0.045,491,0.095,0.06
6/18/2020,Latino,0-17,5836,0.69,0,0,0.479
6/18/2020,Latino,18-34,21303,0.631,40,0.69,0.45
6/18/2020,Latino,35-49,17952,0.609,188,0.732,0.415
6/18/2020,Latino,50-64,14266,0.542,498,0.601,0.322
6/18/2020,Latino,65-79,4927,0.406,706,0.429,0.218
6/18/2020,Latino,80+,1924,0.29,652,0.275,0.196
6/18/2020,Latino,Total,66261,0.567,2085,0.404,0.389
6/18/2020,Other,0-17,1633,0.193,0,0,0.044
6/18/2020,Other,18-34,5041,0.149,2,0.034,0.032
6/18/2020,Other,35-49,3906,0.132,4,0.016,0.021
6/18/2020,Other,50-64,3167,0.121,16,0.02,0.017
6/18/2020,Other,65-79,1106,0.092,30,0.018,0.015
6/18/2020,Other,80+,471,0.071,46,0.019,0.013
6/18/2020,Other,Total,15325,0.131,98,0.019,0.027
6/18/2020,white,0-17,639,0.076,0,0,0.292
6/18/2020,white,18-34,4190,0.124,7,0.121,0.302
6/18/2020,white,35-49,4059,0.138,23,0.089,0.325
6/18/2020,white,50-64,5007,0.19,161,0.194,0.43
6/18/2020,white,65-79,3875,0.319,524,0.318,0.54
6/18/2020,white,80+,2680,0.404,997,0.42,0.572
6/18/2020,white,Total,20475,0.175,1712,0.331,0.366
6/17/2020,Asian,0-17,211,0.025,0,0,0.13
6/17/2020,Asian,18-34,2033,0.062,4,0.07,0.151
6/17/2020,Asian,35-49,2381,0.083,21,0.082,0.179
6/17/2020,Asian,50-64,2465,0.095,79,0.097,0.167
6/17/2020,Asian,65-79,1305,0.109,194,0.12,0.172
6/17/2020,Asian,80+,1019,0.155,468,0.2,0.172
6/17/2020,Asian,Total,9424,0.083,766,0.151,0.157
6/17/2020,Black,0-17,124,0.015,0,0,0.054
6/17/2020,Black,18-34,1169,0.035,5,0.088,0.065
6/17/2020,Black,35-49,1117,0.039,20,0.078,0.059
6/17/2020,Black,50-64,1367,0.053,72,0.088,0.064
6/17/2020,Black,65-79,898,0.075,181,0.112,0.055
6/17/2020,Black,80+,523,0.08,206,0.088,0.048
6/17/2020,Black,Total,5202,0.045,484,0.095,0.06
6/17/2020,Latino,0-17,5643,0.693,0,0,0.479
6/17/2020,Latino,18-34,20794,0.631,39,0.684,0.45
6/17/2020,Latino,35-49,17576,0.61,187,0.733,0.415
6/17/2020,Latino,50-64,13972,0.541,494,0.605,0.322
6/17/2020,Latino,65-79,4853,0.405,695,0.43,0.218
6/17/2020,Latino,80+,1899,0.29,641,0.274,0.196
6/17/2020,Latino,Total,64787,0.566,2057,0.405,0.389
6/17/2020,Other,0-17,1569,0.192,0,0,0.044
6/17/2020,Other,18-34,4887,0.148,2,0.035,0.032
6/17/2020,Other,35-49,3792,0.131,4,0.016,0.021
6/17/2020,Other,50-64,3077,0.12,15,0.022,0.017
6/17/2020,Other,65-79,1090,0.091,28,0.017,0.015
6/17/2020,Other,80+,460,0.07,40,0.017,0.013
6/17/2020,Other,Total,14876,0.13,89,0.018,0.027
6/17/2020,white,0-17,597,0.073,0,0,0.292
6/17/2020,white,18-34,4094,0.124,7,0.123,0.302
6/17/2020,white,35-49,3958,0.137,23,0.09,0.325
6/17/2020,white,50-64,4935,0.191,156,0.191,0.43
6/17/2020,white,65-79,3823,0.319,520,0.321,0.54
6/17/2020,white,80+,2656,0.405,981,0.42,0.572
6/17/2020,white,Total,20087,0.176,1687,0.332,0.366
6/15/2020,Asian,0-17,206,0.027,0,0,0.13
6/15/2020,Asian,18-34,2003,0.062,4,0.071,0.151
6/15/2020,Asian,35-49,2341,0.083,21,0.084,0.179
6/15/2020,Asian,50-64,2448,0.096,78,0.097,0.167
6/15/2020,Asian,65-79,1287,0.109,191,0.12,0.172
6/15/2020,Asian,80+,1010,0.156,463,0.201,0.172
6/15/2020,Asian,Total,9305,0.083,757,0.151,0.157
6/15/2020,Black,0-17,115,0.015,0,0,0.054
6/15/2020,Black,18-34,1150,0.036,5,0.089,0.065
6/15/2020,Black,35-49,1101,0.039,19,0.076,0.059
6/15/2020,Black,50-64,1347,0.053,72,0.089,0.064
6/15/2020,Black,65-79,892,0.076,179,0.112,0.055
6/15/2020,Black,80+,519,0.08,204,0.089,0.048
6/15/2020,Black,Total,5128,0.046,479,0.096,0.06
6/15/2020,Latino,0-17,5446,0.693,0,0,0.479
6/15/2020,Latino,18-34,20233,0.631,38,0.679,0.45
6/15/2020,Latino,35-49,17147,0.609,185,0.737,0.415
6/15/2020,Latino,50-64,13686,0.54,485,0.602,0.322
6/15/2020,Latino,65-79,4765,0.405,687,0.43,0.218
6/15/2020,Latino,80+,1877,0.29,633,0.275,0.196
6/15/2020,Latino,Total,63202,0.566,2029,0.405,0.389
6/15/2020,Other,0-17,1503,0.191,0,0,0.044
6/15/2020,Other,18-34,4681,0.146,2,0.036,0.032
6/15/2020,Other,35-49,3669,0.13,3,0.012,0.021
6/15/2020,Other,50-64,2984,0.118,18,0.022,0.017
6/15/2020,Other,65-79,1054,0.09,28,0.018,0.015
6/15/2020,Other,80+,444,0.069,39,0.017,0.013
6/15/2020,Other,Total,14337,0.128,90,0.018,0.027
6/15/2020,white,0-17,584,0.074,0,0,0.292
6/15/2020,white,18-34,4022,0.125,7,0.125,0.302
6/15/2020,white,35-49,3895,0.138,23,0.092,0.325
6/15/2020,white,50-64,4869,0.192,152,0.189,0.43
6/15/2020,white,65-79,3756,0.32,513,0.321,0.54
6/15/2020,white,80+,2617,0.405,965,0.419,0.572
6/15/2020,white,Total,19766,0.177,1660,0.331,0.366
6/14/2020,Asian,0-17,200,0.028,0,0,0.13
6/14/2020,Asian,18-34,1960,0.064,4,0.071,0.151
6/14/2020,Asian,35-49,2298,0.085,20,0.082,0.179
6/14/2020,Asian,50-64,2410,0.098,77,0.097,0.167
6/14/2020,Asian,65-79,1274,0.112,189,0.121,0.172
6/14/2020,Asian,80+,991,0.156,457,0.201,0.172
6/14/2020,Asian,Total,9144,0.085,747,0.152,0.157
6/14/2020,Black,0-17,109,0.015,0,0,0.054
6/14/2020,Black,18-34,1113,0.036,5,0.089,0.065
6/14/2020,Black,35-49,1074,0.04,19,0.078,0.059
6/14/2020,Black,50-64,1316,0.054,72,0.091,0.064
6/14/2020,Black,65-79,874,0.077,178,0.113,0.055
6/14/2020,Black,80+,509,0.08,197,0.087,0.048
6/14/2020,Black,Total,4999,0.047,471,0.095,0.06
6/14/2020,Latino,0-17,5063,0.692,0,0,0.479
6/14/2020,Latino,18-34,19199,0.628,38,0.679,0.45
6/14/2020,Latino,35-49,16437,0.608,181,0.739,0.415
6/14/2020,Latino,50-64,13187,0.539,476,0.602,0.322
6/14/2020,Latino,65-79,4608,0.404,672,0.427,0.218
6/14/2020,Latino,80+,1835,0.29,624,0.275,0.196
6/14/2020,Latino,Total,60377,0.563,1992,0.404,0.389
6/14/2020,Other,0-17,1391,0.189,0,0,0.044
6/14/2020,Other,18-34,4389,0.144,2,0.036,0.032
6/14/2020,Other,35-49,3413,0.126,3,0.012,0.021
6/14/2020,Other,50-64,2812,0.115,15,0.019,0.017
6/14/2020,Other,65-79,997,0.087,27,0.018,0.015
6/14/2020,Other,80+,435,0.068,39,0.017,0.013
6/14/2020,Other,Total,13439,0.125,86,0.017,0.027
6/14/2020,white,0-17,555,0.076,0,0,0.292
6/14/2020,white,18-34,3890,0.127,7,0.125,0.302
6/14/2020,white,35-49,3801,0.141,22,0.09,0.325
