date,race,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent,population_percent
5/28/2020,white,80+,2081,0.426,741,0.42,0.572
5/28/2020,white,Total,15132,0.206,1289,0.338,0.366
5/27/2020,Asian,0-17,141,0.038,0,0,0.13
5/27/2020,Asian,18-34,1527,0.081,3,0.077,0.151
5/27/2020,Asian,35-49,1863,0.104,14,0.08,0.179
5/27/2020,Asian,50-64,2003,0.115,63,0.111,0.167
5/27/2020,Asian,65-79,1042,0.12,141,0.116,0.172
5/27/2020,Asian,80+,817,0.17,359,0.207,0.172
5/27/2020,Asian,Total,7402,0.103,580,0.156,0.157
5/27/2020,Black,0-17,71,0.019,0,0,0.054
5/27/2020,Black,18-34,794,0.042,3,0.077,0.065
5/27/2020,Black,35-49,830,0.046,15,0.086,0.059
5/27/2020,Black,50-64,1058,0.061,59,0.104,0.064
5/27/2020,Black,65-79,714,0.083,146,0.12,0.055
5/27/2020,Black,80+,393,0.082,154,0.089,0.048
5/27/2020,Black,Total,3863,0.054,377,0.101,0.06
5/27/2020,Latino,0-17,2711,0.737,0,0,0.479
5/27/2020,Latino,18-34,11848,0.627,28,0.718,0.45
5/27/2020,Latino,35-49,10758,0.596,128,0.736,0.415
5/27/2020,Latino,50-64,9022,0.52,318,0.561,0.322
5/27/2020,Latino,65-79,3282,0.38,495,0.407,0.218
5/27/2020,Latino,80+,1281,0.267,465,0.268,0.196
5/27/2020,Latino,Total,38929,0.545,1434,0.384,0.389
5/27/2020,Other,0-17,430,0.117,0,0,0.044
5/27/2020,Other,18-34,1863,0.098,2,0.051,0.032
5/27/2020,Other,35-49,1661,0.091,4,0.023,0.021
5/27/2020,Other,50-64,1497,0.087,10,0.019,0.017
5/27/2020,Other,65-79,638,0.074,28,0.023,0.015
5/27/2020,Other,80+,261,0.054,35,0.019,0.013
5/27/2020,Other,Total,6352,0.089,79,0.022,0.027
5/27/2020,white,0-17,325,0.088,0,0,0.292
5/27/2020,white,18-34,2872,0.152,3,0.077,0.302
5/27/2020,white,35-49,2924,0.162,13,0.075,0.325
5/27/2020,white,50-64,3780,0.218,117,0.206,0.43
5/27/2020,white,65-79,2956,0.342,406,0.334,0.54
5/27/2020,white,80+,2047,0.427,721,0.416,0.572
5/27/2020,white,Total,14915,0.209,1260,0.338,0.366
5/22/2020,Asian,0-17,119,0.04,0,0,0.13
5/22/2020,Asian,18-34,1439,0.087,3,0.086,0.151
5/22/2020,Asian,35-49,1766,0.11,12,0.073,0.179
5/22/2020,Asian,50-64,1900,0.121,59,0.111,0.167
5/22/2020,Asian,65-79,982,0.124,136,0.119,0.172
5/22/2020,Asian,80+,788,0.175,338,0.207,0.172
5/22/2020,Asian,Total,7004,0.11,548,0.156,0.157
5/22/2020,Black,0-17,63,0.022,0,0,0.054
5/22/2020,Black,18-34,742,0.045,3,0.086,0.065
5/22/2020,Black,35-49,785,0.049,15,0.091,0.059
5/22/2020,Black,50-64,986,0.063,58,0.109,0.064
5/22/2020,Black,65-79,665,0.084,137,0.12,0.055
5/22/2020,Black,80+,373,0.083,144,0.088,0.048
5/22/2020,Black,Total,3616,0.057,357,0.102,0.06
5/22/2020,Latino,0-17,2290,0.785,0,0,0.479
5/22/2020,Latino,18-34,10509,0.64,24,0.686,0.45
5/22/2020,Latino,35-49,9648,0.602,121,0.738,0.415
5/22/2020,Latino,50-64,8181,0.521,293,0.55,0.322
5/22/2020,Latino,65-79,2988,0.378,458,0.401,0.218
5/22/2020,Latino,80+,1176,0.261,433,0.266,0.196
5/22/2020,Latino,Total,34809,0.548,1329,0.379,0.389
5/22/2020,Other,0-17,157,0.054,0,0,0.044
5/22/2020,Other,18-34,1055,0.064,1,0.029,0.032
5/22/2020,Other,35-49,1043,0.065,3,0.018,0.021
5/22/2020,Other,50-64,1080,0.069,10,0.019,0.017
5/22/2020,Other,65-79,506,0.064,30,0.026,0.015
5/22/2020,Other,80+,226,0.051,31,0.019,0.013
5/22/2020,Other,Total,4069,0.064,75,0.022,0.027
5/22/2020,white,0-17,290,0.099,0,0,0.292
5/22/2020,white,18-34,2667,0.163,4,0.114,0.302
5/22/2020,white,35-49,2778,0.173,13,0.079,0.325
5/22/2020,white,50-64,3562,0.227,113,0.212,0.43
5/22/2020,white,65-79,2764,0.35,382,0.334,0.54
5/22/2020,white,80+,1936,0.43,683,0.419,0.572
5/22/2020,white,Total,14007,0.221,1195,0.341,0.366
5/21/2020,Asian,0-17,113,0.041,0,0,0.13
5/21/2020,Asian,18-34,1416,0.089,3,0.086,0.151
5/21/2020,Asian,35-49,1745,0.112,11,0.067,0.179
5/21/2020,Asian,50-64,1870,0.122,58,0.111,0.167
5/21/2020,Asian,65-79,973,0.126,135,0.12,0.172
5/21/2020,Asian,80+,776,0.176,334,0.206,0.172
5/21/2020,Asian,Total,6903,0.112,541,0.157,0.157
5/21/2020,Black,0-17,60,0.022,0,0,0.054
5/21/2020,Black,18-34,731,0.046,3,0.086,0.065
5/21/2020,Black,35-49,767,0.049,15,0.092,0.059
5/21/2020,Black,50-64,966,0.063,56,0.107,0.064
5/21/2020,Black,65-79,648,0.084,135,0.12,0.055
5/21/2020,Black,80+,359,0.081,144,0.089,0.048
5/21/2020,Black,Total,3533,0.057,353,0.102,0.06
5/21/2020,Latino,0-17,2160,0.781,0,0,0.479
5/21/2020,Latino,18-34,10151,0.638,24,0.686,0.45
5/21/2020,Latino,35-49,9313,0.598,120,0.736,0.415
5/21/2020,Latino,50-64,7932,0.518,287,0.549,0.322
5/21/2020,Latino,65-79,2910,0.376,448,0.4,0.218
5/21/2020,Latino,80+,1151,0.261,429,0.266,0.196
5/21/2020,Latino,Total,33639,0.545,1308,0.378,0.389
5/21/2020,Other,0-17,142,0.051,0,0,0.044
5/21/2020,Other,18-34,1006,0.063,1,0.029,0.032
5/21/2020,Other,35-49,1004,0.065,4,0.024,0.021
5/21/2020,Other,50-64,1047,0.069,10,0.019,0.017
5/21/2020,Other,65-79,496,0.064,29,0.025,0.015
5/21/2020,Other,80+,218,0.049,31,0.019,0.013
5/21/2020,Other,Total,3916,0.064,75,0.022,0.027
5/21/2020,white,0-17,289,0.105,0,0,0.292
5/21/2020,white,18-34,2608,0.164,4,0.114,0.302
5/21/2020,white,35-49,2738,0.176,13,0.08,0.325
5/21/2020,white,50-64,3496,0.228,112,0.214,0.43
5/21/2020,white,65-79,2716,0.351,374,0.334,0.54
5/21/2020,white,80+,1905,0.432,677,0.419,0.572
5/21/2020,white,Total,13762,0.223,1180,0.341,0.366
5/20/2020,Asian,0-17,109,0.042,0,0,0.13
5/20/2020,Asian,18-34,1388,0.091,3,0.086,0.151
5/20/2020,Asian,35-49,1707,0.113,10,0.064,0.179
5/20/2020,Asian,50-64,1834,0.123,56,0.11,0.167
5/20/2020,Asian,65-79,961,0.126,134,0.123,0.172
5/20/2020,Asian,80+,754,0.175,332,0.21,0.172
5/20/2020,Asian,Total,6763,0.112,535,0.158,0.157
5/20/2020,Black,0-17,56,0.021,0,0,0.054
5/20/2020,Black,18-34,714,0.046,3,0.086,0.065
5/20/2020,Black,35-49,754,0.05,14,0.089,0.059
5/20/2020,Black,50-64,954,0.064,56,0.11,0.064
5/20/2020,Black,65-79,635,0.084,130,0.119,0.055
5/20/2020,Black,80+,350,0.082,141,0.089,0.048
5/20/2020,Black,Total,3465,0.058,344,0.102,0.06
5/20/2020,Latino,0-17,2046,0.783,0,0,0.479
5/20/2020,Latino,18-34,9824,0.638,24,0.686,0.45
5/20/2020,Latino,35-49,9070,0.599,117,0.741,0.415
5/20/2020,Latino,50-64,7751,0.518,278,0.544,0.322
5/20/2020,Latino,65-79,2842,0.375,434,0.398,0.218
5/20/2020,Latino,80+,1111,0.259,418,0.264,0.196
5/20/2020,Latino,Total,32662,0.544,1271,0.376,0.389
5/20/2020,Other,0-17,131,0.051,0,0,0.044
5/20/2020,Other,18-34,956,0.062,1,0.029,0.032
5/20/2020,Other,35-49,940,0.063,4,0.026,0.021
5/20/2020,Other,50-64,990,0.067,10,0.02,0.017
5/20/2020,Other,65-79,479,0.064,29,0.027,0.015
5/20/2020,Other,80+,218,0.05,29,0.018,0.013
5/20/2020,Other,Total,3717,0.062,73,0.022,0.027
5/20/2020,white,0-17,272,0.104,0,0,0.292
5/20/2020,white,18-34,2526,0.164,4,0.114,0.302
5/20/2020,white,35-49,2681,0.177,13,0.082,0.325
5/20/2020,white,50-64,3427,0.229,111,0.217,0.43
5/20/2020,white,65-79,2664,0.351,364,0.334,0.54
5/20/2020,white,80+,1858,0.433,666,0.42,0.572
5/20/2020,white,Total,13437,0.224,1158,0.343,0.366
5/19/2020,Asian,0-17,106,0.042,0,0,0.13
5/19/2020,Asian,18-34,1365,0.092,3,0.088,0.151
5/19/2020,Asian,35-49,1678,0.114,10,0.064,0.179
5/19/2020,Asian,50-64,1814,0.124,54,0.109,0.167
5/19/2020,Asian,65-79,948,0.127,131,0.123,0.172
5/19/2020,Asian,80+,745,0.176,325,0.21,0.172
5/19/2020,Asian,Total,6666,0.114,523,0.159,0.157
5/19/2020,Black,0-17,54,0.022,0,0,0.054
5/19/2020,Black,18-34,697,0.047,3,0.088,0.065
5/19/2020,Black,35-49,750,0.051,14,0.09,0.059
5/19/2020,Black,50-64,944,0.065,55,0.111,0.064
5/19/2020,Black,65-79,624,0.084,124,0.117,0.055
5/19/2020,Black,80+,348,0.082,139,0.09,0.048
5/19/2020,Black,Total,3418,0.059,335,0.102,0.06
5/19/2020,Latino,0-17,1920,0.777,0,0,0.479
5/19/2020,Latino,18-34,9399,0.632,23,0.676,0.45
5/19/2020,Latino,35-49,8772,0.595,115,0.737,0.415
5/19/2020,Latino,50-64,7483,0.514,268,0.541,0.322
5/19/2020,Latino,65-79,2761,0.371,422,0.398,0.218
5/19/2020,Latino,80+,1082,0.256,407,0.263,0.196
5/19/2020,Latino,Total,31432,0.539,1235,0.375,0.389
5/19/2020,Other,0-17,131,0.053,0,0,0.044
5/19/2020,Other,18-34,942,0.063,1,0.029,0.032
5/19/2020,Other,35-49,914,0.063,4,0.026,0.021
5/19/2020,Other,50-64,973,0.067,10,0.02,0.017
5/19/2020,Other,65-79,475,0.065,33,0.031,0.015
5/19/2020,Other,80+,208,0.049,27,0.017,0.013
5/19/2020,Other,Total,3645,0.063,75,0.023,0.027
5/19/2020,white,0-17,261,0.106,0,0,0.292
5/19/2020,white,18-34,2464,0.166,4,0.118,0.302
5/19/2020,white,35-49,2624,0.178,13,0.083,0.325
5/19/2020,white,50-64,3356,0.23,108,0.218,0.43
5/19/2020,white,65-79,2628,0.353,349,0.33,0.54
5/19/2020,white,80+,1843,0.436,651,0.42,0.572
5/19/2020,white,Total,13185,0.226,1125,0.342,0.366
5/18/2020,Asian,0-17,105,0.045,0,0,0.13
5/18/2020,Asian,18-34,1336,0.093,3,0.094,0.151
5/18/2020,Asian,35-49,1646,0.115,10,0.065,0.179
5/18/2020,Asian,50-64,1784,0.126,53,0.112,0.167
5/18/2020,Asian,65-79,936,0.128,125,0.124,0.172
5/18/2020,Asian,80+,729,0.176,311,0.206,0.172
5/18/2020,Asian,Total,6545,0.116,502,0.157,0.157
5/18/2020,Black,0-17,51,0.022,0,0,0.054
5/18/2020,Black,18-34,672,0.047,3,0.094,0.065
5/18/2020,Black,35-49,731,0.051,14,0.092,0.059
5/18/2020,Black,50-64,923,0.065,52,0.11,0.064
5/18/2020,Black,65-79,613,0.084,118,0.117,0.055
5/18/2020,Black,80+,343,0.083,136,0.09,0.048
5/18/2020,Black,Total,3334,0.059,323,0.102,0.06
5/18/2020,Latino,0-17,1797,0.769,0,0,0.479
5/18/2020,Latino,18-34,9077,0.63,21,0.656,0.45
5/18/2020,Latino,35-49,8482,0.591,112,0.732,0.415
5/18/2020,Latino,50-64,7265,0.51,254,0.538,0.322
5/18/2020,Latino,65-79,2697,0.369,403,0.398,0.218
5/18/2020,Latino,80+,1059,0.256,397,0.263,0.196
5/18/2020,Latino,Total,30391,0.535,1187,0.374,0.389
5/18/2020,Other,0-17,130,0.056,0,0,0.044
5/18/2020,Other,18-34,915,0.063,1,0.031,0.032
5/18/2020,Other,35-49,910,0.064,4,0.026,0.021
5/18/2020,Other,50-64,972,0.068,11,0.023,0.017
5/18/2020,Other,65-79,464,0.064,30,0.03,0.015
5/18/2020,Other,80+,206,0.05,24,0.015,0.013
5/18/2020,Other,Total,3599,0.064,70,0.022,0.027
5/18/2020,white,0-17,254,0.109,0,0,0.292
5/18/2020,white,18-34,2417,0.168,4,0.125,0.302
5/18/2020,white,35-49,2582,0.18,13,0.085,0.325
5/18/2020,white,50-64,3300,0.232,102,0.216,0.43
5/18/2020,white,65-79,2595,0.355,336,0.332,0.54
5/18/2020,white,80+,1802,0.435,641,0.425,0.572
5/18/2020,white,Total,12960,0.228,1096,0.345,0.366
5/17/2020,Asian,0-17,105,0.047,0,0,0.13
5/17/2020,Asian,18-34,1322,0.094,3,0.094,0.151
5/17/2020,Asian,35-49,1630,0.116,10,0.067,0.179
5/17/2020,Asian,50-64,1769,0.127,54,0.114,0.167
5/17/2020,Asian,65-79,929,0.13,125,0.125,0.172
5/17/2020,Asian,80+,725,0.177,308,0.206,0.172
5/17/2020,Asian,Total,6489,0.117,500,0.159,0.157
5/17/2020,Black,0-17,49,0.022,0,0,0.054
5/17/2020,Black,18-34,653,0.047,3,0.094,0.065
5/17/2020,Black,35-49,716,0.051,14,0.093,0.059
5/17/2020,Black,50-64,906,0.065,52,0.11,0.064
5/17/2020,Black,65-79,603,0.084,117,0.117,0.055
5/17/2020,Black,80+,339,0.083,135,0.09,0.048
5/17/2020,Black,Total,3267,0.059,321,0.102,0.06
5/17/2020,Latino,0-17,1741,0.777,0,0,0.479
5/17/2020,Latino,18-34,8842,0.63,21,0.656,0.45
5/17/2020,Latino,35-49,8268,0.59,110,0.733,0.415
5/17/2020,Latino,50-64,7117,0.51,253,0.537,0.322
5/17/2020,Latino,65-79,2663,0.37,394,0.395,0.218
5/17/2020,Latino,80+,1049,0.256,395,0.264,0.196
5/17/2020,Latino,Total,29693,0.534,1173,0.373,0.389
5/17/2020,Other,0-17,119,0.052,0,0,0.044
5/17/2020,Other,18-34,898,0.065,1,0.031,0.032
5/17/2020,Other,35-49,893,0.064,4,0.026,0.021
5/17/2020,Other,50-64,938,0.068,11,0.023,0.017
5/17/2020,Other,65-79,452,0.063,30,0.03,0.015
5/17/2020,Other,80+,206,0.05,25,0.016,0.013
5/17/2020,Other,Total,3508,0.063,71,0.022,0.027
5/17/2020,white,0-17,227,0.101,0,0,0.292
5/17/2020,white,18-34,2324,0.166,4,0.125,0.302
5/17/2020,white,35-49,2505,0.179,12,0.08,0.325
5/17/2020,white,50-64,3212,0.23,101,0.214,0.43
5/17/2020,white,65-79,2547,0.354,332,0.333,0.54
5/17/2020,white,80+,1773,0.433,631,0.422,0.572
5/17/2020,white,Total,12598,0.227,1080,0.343,0.366
5/16/2020,Asian,0-17,95,0.044,0,0,0.13
5/16/2020,Asian,18-34,1282,0.093,3,0.097,0.151
5/16/2020,Asian,35-49,1596,0.116,10,0.068,0.179
5/16/2020,Asian,50-64,1725,0.125,53,0.116,0.167
5/16/2020,Asian,65-79,910,0.129,124,0.127,0.172
5/16/2020,Asian,80+,712,0.177,305,0.211,0.172
5/16/2020,Asian,Total,6330,0.116,496,0.162,0.157
5/16/2020,Black,0-17,48,0.022,0,0,0.054
5/16/2020,Black,18-34,643,0.047,3,0.097,0.065
5/16/2020,Black,35-49,708,0.051,14,0.095,0.059
5/16/2020,Black,50-64,898,0.065,50,0.109,0.064
5/16/2020,Black,65-79,592,0.084,114,0.117,0.055
5/16/2020,Black,80+,331,0.083,130,0.09,0.048
5/16/2020,Black,Total,3221,0.059,311,0.102,0.06
5/16/2020,Latino,0-17,1707,0.782,0,0,0.479
5/16/2020,Latino,18-34,8678,0.63,20,0.645,0.45
5/16/2020,Latino,35-49,8138,0.59,107,0.728,0.415
5/16/2020,Latino,50-64,7021,0.511,247,0.537,0.322
5/16/2020,Latino,65-79,2618,0.37,382,0.393,0.218
5/16/2020,Latino,80+,1033,0.258,381,0.264,0.196
5/16/2020,Latino,Total,29208,0.535,1137,0.372,0.389
5/16/2020,Other,0-17,108,0.049,0,0,0.044
5/16/2020,Other,18-34,881,0.064,2,0.064,0.032
5/16/2020,Other,35-49,864,0.062,4,0.028,0.021
5/16/2020,Other,50-64,919,0.067,11,0.023,0.017
5/16/2020,Other,65-79,445,0.063,31,0.032,0.015
5/16/2020,Other,80+,198,0.049,26,0.018,0.013
5/16/2020,Other,Total,3418,0.063,74,0.025,0.027
5/16/2020,white,0-17,226,0.103,0,0,0.292
5/16/2020,white,18-34,2299,0.167,3,0.097,0.302
5/16/2020,white,35-49,2493,0.181,12,0.082,0.325
5/16/2020,white,50-64,3183,0.232,99,0.215,0.43
5/16/2020,white,65-79,2514,0.355,322,0.331,0.54
5/16/2020,white,80+,1728,0.432,603,0.417,0.572
5/16/2020,white,Total,12452,0.228,1039,0.34,0.366
5/15/2020,Asian,0-17,87,0.043,0,0,0.13
5/15/2020,Asian,18-34,1218,0.092,3,0.103,0.151
5/15/2020,Asian,35-49,1547,0.116,10,0.069,0.179
5/15/2020,Asian,50-64,1672,0.126,52,0.116,0.167
5/15/2020,Asian,65-79,893,0.129,123,0.128,0.172
5/15/2020,Asian,80+,691,0.177,300,0.213,0.172
5/15/2020,Asian,Total,6118,0.116,489,0.163,0.157
5/15/2020,Black,0-17,47,0.023,0,0,0.054
5/15/2020,Black,18-34,638,0.048,3,0.103,0.065
5/15/2020,Black,35-49,694,0.052,14,0.096,0.059
5/15/2020,Black,50-64,887,0.067,48,0.107,0.064
5/15/2020,Black,65-79,585,0.084,112,0.117,0.055
5/15/2020,Black,80+,326,0.084,127,0.09,0.048
5/15/2020,Black,Total,3178,0.06,304,0.102,0.06
5/15/2020,Latino,0-17,1575,0.782,0,0,0.479
5/15/2020,Latino,18-34,8256,0.625,18,0.621,0.45
5/15/2020,Latino,35-49,7803,0.586,106,0.726,0.415
5/15/2020,Latino,50-64,6750,0.507,242,0.538,0.322
5/15/2020,Latino,65-79,2545,0.367,376,0.392,0.218
5/15/2020,Latino,80+,1000,0.256,368,0.262,0.196
5/15/2020,Latino,Total,27943,0.53,1110,0.371,0.389
5/15/2020,Other,0-17,104,0.051,0,0,0.044
5/15/2020,Other,18-34,863,0.065,2,0.068,0.032
5/15/2020,Other,35-49,841,0.063,4,0.028,0.021
5/15/2020,Other,50-64,901,0.068,10,0.021,0.017
5/15/2020,Other,65-79,435,0.063,29,0.03,0.015
5/15/2020,Other,80+,187,0.048,24,0.017,0.013
5/15/2020,Other,Total,3333,0.063,69,0.023,0.027
5/15/2020,white,0-17,202,0.1,0,0,0.292
5/15/2020,white,18-34,2234,0.169,3,0.103,0.302
5/15/2020,white,35-49,2433,0.183,12,0.082,0.325
5/15/2020,white,50-64,3107,0.233,98,0.218,0.43
5/15/2020,white,65-79,2471,0.357,320,0.333,0.54
5/15/2020,white,80+,1697,0.435,588,0.418,0.572
5/15/2020,white,Total,12153,0.23,1021,0.341,0.366
5/14/2020,Asian,0-17,80,0.042,0,0,0.13
5/14/2020,Asian,18-34,1177,0.092,3,0.111,0.151
5/14/2020,Asian,35-49,1498,0.116,11,0.078,0.179
5/14/2020,Asian,50-64,1627,0.126,53,0.121,0.167
5/14/2020,Asian,65-79,873,0.129,117,0.127,0.172
5/14/2020,Asian,80+,676,0.178,295,0.218,0.172
5/14/2020,Asian,Total,5941,0.116,480,0.167,0.157
5/14/2020,Black,0-17,44,0.023,0,0,0.054
5/14/2020,Black,18-34,594,0.047,4,0.148,0.065
5/14/2020,Black,35-49,661,0.051,14,0.099,0.059
5/14/2020,Black,50-64,851,0.066,47,0.107,0.064
5/14/2020,Black,65-79,567,0.084,110,0.119,0.055
5/14/2020,Black,80+,308,0.081,117,0.086,0.048
5/14/2020,Black,Total,3026,0.059,292,0.101,0.06
5/14/2020,Latino,0-17,1491,0.779,0,0,0.479
5/14/2020,Latino,18-34,7899,0.621,16,0.593,0.45
5/14/2020,Latino,35-49,7530,0.583,102,0.723,0.415
5/14/2020,Latino,50-64,6506,0.503,234,0.533,0.322
5/14/2020,Latino,65-79,2466,0.365,360,0.389,0.218
5/14/2020,Latino,80+,972,0.256,348,0.257,0.196
5/14/2020,Latino,Total,26880,0.526,1060,0.367,0.389
5/14/2020,Other,0-17,103,0.054,0,0,0.044
5/14/2020,Other,18-34,852,0.067,1,0.037,0.032
5/14/2020,Other,35-49,826,0.063,3,0.021,0.021
5/14/2020,Other,50-64,893,0.069,9,0.02,0.017
5/14/2020,Other,65-79,420,0.062,27,0.028,0.015
5/14/2020,Other,80+,183,0.048,24,0.017,0.013
5/14/2020,Other,Total,3280,0.065,64,0.023,0.027
5/14/2020,white,0-17,197,0.103,0,0,0.292
5/14/2020,white,18-34,2199,0.173,3,0.111,0.302
5/14/2020,white,35-49,2392,0.185,11,0.078,0.325
5/14/2020,white,50-64,3062,0.237,96,0.219,0.43
5/14/2020,white,65-79,2433,0.36,312,0.337,0.54
5/14/2020,white,80+,1665,0.438,569,0.421,0.572
5/14/2020,white,Total,11956,0.234,991,0.343,0.366
